resultID,studyName,riskFactorName,fatality,fatalityLowerBound,fatalityUpperBound,fatalitypValue,fatalitySignificance,fatalityAdjusted,fatalityCalculated
a1b7179e2160,"Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio","Chronic kidney disease","HR 1.5",0.9,2.6,,Significant,Adjusted,Extracted
bc838c58b33b,"Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio","Overweight or obese","HR 1.3",0.6,2.9,,Significant,Adjusted,Extracted
bf1501ab54ad,"Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio","Male gender","HR 1.6",1.2,2.1,,Significant,"Not Adjusted",Extracted
d41ee853c1f4,"Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio","Chronic kidney disease","HR 1.5",0.9,2.6,,"Not Significant","Not Adjusted",Extracted
da6a76f658ff,"Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio",Dementia,"HR 1.8",1.1,2.5,,Significant,Adjusted,Extracted
db8a5932bc5c,"Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio",COPD,"HR 1.1",0.7,1.7,,"Not Significant",Adjusted,Extracted
e9c5e5ab903b,"Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio",COPD,"HR 1.1",0.7,1.7,,"Not Significant","Not Adjusted",Extracted
fd845c13d111,"Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio","Overweight or obese","HR 1.3",0.6,2.9,,"Not Significant","Not Adjusted",Extracted
12b0859bac33,"Characteristics and Outcomes of COVID-19 Patients in New York City's Public Hospital System",Cancer,"OR 1.14",0.95,1.37,0.17,"Not Significant","Not Adjusted",Calculated
15ad88c645ff,"Characteristics and Outcomes of COVID-19 Patients in New York City's Public Hospital System","Overweight or obese","OR 0.90",0.77,1.05,0.2,"Not Significant","Not Adjusted",Calculated
201d276fb37d,"Characteristics and Outcomes of COVID-19 Patients in New York City's Public Hospital System",Diabetes,"OR 1.13",1.0,1.27,0.05,Significant,"Not Adjusted",Calculated
3d8ecc5002f3,"Characteristics and Outcomes of COVID-19 Patients in New York City's Public Hospital System",Asthma,"OR 0.82",0.66,1.04,0.1,"Not Significant","Not Adjusted",Calculated
3e96afe854d6,"Characteristics and Outcomes of COVID-19 Patients in New York City's Public Hospital System","Chronic liver disease","OR 0.86",0.61,1.2,0.37,"Not Significant","Not Adjusted",Calculated
3f7b6ca6ee27,"Characteristics and Outcomes of COVID-19 Patients in New York City's Public Hospital System","Race_ Black vs","OR 0.89",0.79,1.0,0.05,"Not Significant","Not Adjusted",Calculated
556e4450d194,"Characteristics and Outcomes of COVID-19 Patients in New York City's Public Hospital System","Ethnicity_ Hispanic vs","OR 0.53",0.43,0.64,0,Significant,"Not Adjusted",Calculated
967d797a3855,"Characteristics and Outcomes of COVID-19 Patients in New York City's Public Hospital System","Heart Failure","OR 1.41",1.15,1.72,0,Significant,"Not Adjusted",Calculated
a6c4ad3f1ada,"Characteristics and Outcomes of COVID-19 Patients in New York City's Public Hospital System","Male gender","OR 1.09",0.97,1.22,0.16,"Not Significant","Not Adjusted",Calculated
a871bff1180e,"Characteristics and Outcomes of COVID-19 Patients in New York City's Public Hospital System","Chronic kidney disease","OR 1.60",1.36,1.89,0,Significant,"Not Adjusted",Calculated
c2784e5a2df8,"Characteristics and Outcomes of COVID-19 Patients in New York City's Public Hospital System","Immune system disorders","OR 0.71",0.43,1.16,0.17,"Not Significant","Not Adjusted",Calculated
ce59e4dde423,"Characteristics and Outcomes of COVID-19 Patients in New York City's Public Hospital System",Hypertension,"OR 1.03",0.92,1.15,0.64,"Not Significant","Not Adjusted",Calculated
e01166cc1ee3,"Characteristics and Outcomes of COVID-19 Patients in New York City's Public Hospital System",COPD,"OR 1.11",0.83,1.48,0.48,"Not Significant","Not Adjusted",Calculated
e54384a38795,"Characteristics and Outcomes of COVID-19 Patients in New York City's Public Hospital System","Heart Disease","OR 1.31",1.16,1.49,0,Significant,"Not Adjusted",Calculated
e79ea9233b69,"Characteristics and Outcomes of COVID-19 Patients in New York City's Public Hospital System","Race_ Asian vs","OR 0.65",0.49,0.87,0.00,Significant,"Not Adjusted",Calculated
0188dbff6232,"Characteristics and outcomes of patients hospitalized for COVID-19 and cardiac disease in Northern Italy",Diabetes,"OR 3.47",1.02,11.82,0.05,Significant,"Not Adjusted",Calculated
6aa303c9ddd5,"Characteristics and outcomes of patients hospitalized for COVID-19 and cardiac disease in Northern Italy","Heart Failure","OR 4.76",1.43,15.87,0.01,Significant,"Not Adjusted",Calculated
9b0de6e8b11e,"Characteristics and outcomes of patients hospitalized for COVID-19 and cardiac disease in Northern Italy","Heart Disease","OR 3.47",1.02,11.82,0.05,Significant,"Not Adjusted",Calculated
a20c39e73f2f,"Characteristics and outcomes of patients hospitalized for COVID-19 and cardiac disease in Northern Italy","Overweight or obese","OR 1.16",0.32,4.23,0.82,"Not Significant","Not Adjusted",Calculated
cd8651879052,"Characteristics and outcomes of patients hospitalized for COVID-19 and cardiac disease in Northern Italy",Hypertension,"OR 0.56",0.16,2.01,0.38,"Not Significant","Not Adjusted",Calculated
ff7d5a9ac402,"Characteristics and outcomes of patients hospitalized for COVID-19 and cardiac disease in Northern Italy","Chronic kidney disease","OR 6.44",1.74,23.84,0.01,Significant,"Not Adjusted",Calculated
0b7b7366e234,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort","Male gender",AOR=2.1,1.7,2.7,,Significant,Adjusted,Extracted
15e308420876,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort","Male gender",AOR=2.1,1.7,2.6,,Significant,Adjusted,Extracted
19cacc7805a2,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort","Autoimmune disorders",AOR=1.0,0.7,1.5,,"Not Significant",Adjusted,Extracted
2b68b6628e93,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort","Male gender",OR=1.9,1.6,2.3,,Significant,"Not Adjusted",Extracted
356b1d33f8c6,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort","Overweight or obese",AOR=1.5,1.1,2.1,,Significant,Adjusted,Extracted
4289bc08abe8,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort","Cerebrovascular disease",AOR=1.4,1.1,1.8,,Significant,Adjusted,Extracted
54d8820675e4,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort","Heart Disease",OR=5.0,4.1,6.1,,Significant,"Not Adjusted",Extracted
5e80105da12d,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort",Diabetes,AOR=1.6,1.3,2.1,,Significant,Adjusted,Extracted
64ca2027cc72,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort","Chronic respiratory diseases",OR=2.7,2.2,3.3,,Significant,"Not Adjusted",Extracted
6542ac5f6637,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort","Chronic respiratory diseases",AOR=1.4,1.1,1.8,,Significant,Adjusted,Extracted
772538c1f248,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort",Cancer,OR=4.5,3.6,5.5,,Significant,"Not Adjusted",Extracted
78d8dd255bb7,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort",Hypertension,OR=8.9,7.3,10.8,,Significant,"Not Adjusted",Extracted
81856b0326ff,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort","Cerebrovascular disease",OR=7.2,5.8,9.0,,Significant,"Not Adjusted",Extracted
81c85fb90a2b,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort","Overweight or obese",OR=1.2,0.9,1.6,,"Not Significant","Not Adjusted",Extracted
94e56da6f7bb,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort",Dementia,AOR=1.9,1.4,2.5,,Significant,Adjusted,Extracted
b28ff63885d5,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort","Heart Failure",AOR=1.7,1.3,2.2,,Significant,Adjusted,Extracted
b934c2fdbc21,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort",Drinking,OR=2.5,1.8,3.7,,Significant,"Not Adjusted",Extracted
bc1ae2326e3a,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort","Chronic liver disease",OR=1.7,1.0,3.1,,Significant,"Not Adjusted",Extracted
c77db4382d43,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort","Heart Disease",AOR=1.2,0.9,1.5,,"Not Significant",Adjusted,Extracted
dd3b45eb86ba,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort",Drinking,AOR=1.6,1.1,2.5,,Significant,Adjusted,Extracted
e2f64aa7a095,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort",Diabetes,OR=4.4,3.6,5.4,,Significant,"Not Adjusted",Extracted
e606cf355967,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort",Dementia,OR=11.9,9.3,15.3,,Significant,"Not Adjusted",Extracted
ecd9b9e04c4c,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort",Hypertension,AOR=1.3,1.1,1.7,,Significant,Adjusted,Extracted
eea3fa58b9bb,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort","Chronic liver disease",AOR=1.6,0.8,3.0,,"Not Significant",Adjusted,Extracted
f4d3fb19a2b4,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort",Cancer,AOR=1.3,1.0,1.7,,Significant,Adjusted,Extracted
fc73f0716ee4,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort","Heart Failure",OR=9.1,7.0,11.8,,Significant,"Not Adjusted",Extracted
ff4860df8073,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort","Autoimmune disorders",OR=2.8,2.0,3.8,,Significant,"Not Adjusted",Extracted
df81d6c366dc,"Characteristics of COVID-19 infection in Beijing","Male gender",,,,,,,
2de5c1480374,"Characteristics of patients with COVID-19 during epidemic ongoing outbreak in Wuhan, China","Chronic respiratory diseases","OR 5.44",2.45,12.06,<0.01,Significant,"Not Adjusted",Calculated
d946414031dd,"Characteristics of patients with COVID-19 during epidemic ongoing outbreak in Wuhan, China","Smoking Status","OR 1.40",0.62,3.18,0.42,"Not Significant","Not Adjusted",Calculated
b76ef8c7bfb7,"Characterization and Clinical Course of 1000 Patients with COVID-19 in New York: retrospective case series","Chronic kidney disease",,,,,,,
7e3d6ff42b09,"Characterization of clinical progression of COVID-19 patients in Shenzhen, China",Hypertension,,,,,,,
26fa283328f2,"Chronic obstructive pulmonary disease is associated with severe coronavirus disease 2019 (COVID-19)",COPD,,,,,,,
240d0267dac7,"Clinical characteristics and outcomes of 112 cardiovascular disease patients infected by 2019-nCoV","Heart Failure","OR 8.19",2.45,27.34,<0.01,Significant,"Not Adjusted",Calculated
fc7188322948,"Clinical Characteristics and Outcomes of Hospitalized and Critically Ill Children and Adolescents with Coronavirus Disease 2019 (COVID-19) at a Tertiary Care Medical Center in New York City","Male gender",,,,,,,
5aa2a5e02f9e,"Clinical Characteristics and Outcomes of Patients With Diabetes and COVID-19 in Association With Glucose-Lowering Medication",Age,AOR=1.09,1.07,1.12,,Significant,Adjusted,Extracted
983bb0e971f2,"Clinical Characteristics and Outcomes of Patients With Diabetes and COVID-19 in Association With Glucose-Lowering Medication",Age,OR=1.10,1.08,1.12,,Significant,"Not Adjusted",Extracted
48e9f0e33967,"Clinical Characteristics and Outcomes of Patients With Diabetes and COVID-19 in Association With Glucose-Lowering Medication.","Heart Disease",OR=8.29,5.02,13.68,,Significant,"Not Adjusted",Extracted
